age,ed,employ,address,income,debtinc,creddebt,othdebt,default
31,1,8,7,35,2.9,0.657914,0.357086,0
35,2,12,14,60,16.5,4.087592,5.812408,0
44,1,0,0,40,10.4,1.621866,2.538134,0
30,1,1,1,28,17.3,1.633987,3.210013,0
39,4,6,5,68,3.2,1.264028,0.911972,0
41,2,3,4,40,8.9,1.475932,2.084068,1
23,2,2,2,34,9.1,2.028345,1.065655,0
34,1,4,2,38,4.2,0.825511,0.770489,0
29,1,6,5,27,13.9,2.547656,1.205344,0
27,2,5,5,35,3.7,0.463881,0.831119,0
31,2,1,1,43,7.4,1.700312,1.481688,0
38,2,11,11,36,2.2,0.399708,0.392292,1
35,1,10,11,30,2.5,0.47514,0.27486,0
31,2,3,3,56,7.3,1.365053,2.722947,0
47,2,20,26,44,6.7,1.040209,1.907791,0
25,1,3,4,27,12.9,2.176844,1.306156,0
51,4,9,13,75,5.5,2.046385,2.078615,0
21,1,2,1,27,1.2,0.217915,0.106085,0
39,3,8,5,62,13.0,3.222495,4.837505,1
37,2,12,12,39,12.1,1.604682,3.114318,1
45,4,16,24,49,7.9,1.961425,1.909575,0
42,1,11,10,41,4.8,1.014191,0.953809,0
35,4,1,1,60,12.2,4.142284,3.177716,0
41,1,12,13,35,5.8,1.064457,0.965543,0
21,3,2,3,54,5.0,1.466003,1.233997,0
47,1,9,13,64,32.4,13.199211,7.536789,0
26,2,5,4,40,0.9,0.196702,0.163298,0
31,1,1,1,29,7.6,1.223655,0.980345,0
43,3,7,8,49,19.8,5.090803,4.611197,0
28,1,6,8,28,3.0,0.292401,0.547599,0
31,2,4,5,55,19.9,6.57764,4.36736,1
55,3,23,13,86,13.8,5.603331,6.264669,0
22,2,1,1,37,7.7,1.420069,1.428931,0
41,1,0,0,50,18.4,6.146765,3.053235,1
41,1,13,9,47,4.3,1.385644,0.635356,0
27,1,4,4,30,4.4,0.397833,0.922167,0
30,1,7,6,47,6.4,1.007577,2.000423,0
30,1,4,6,43,2.9,0.429407,0.817593,0
48,1,0,0,44,6.4,1.012309,1.803691,0
41,3,13,13,51,11.8,4.199181,1.818819,0
39,2,1,1,50,26.5,6.914114,6.335886,0
44,3,18,17,51,7.8,1.787396,2.190604,0
41,4,8,10,69,20.9,9.882212,4.538788,0
42,1,11,16,41,6.6,1.303263,1.402737,1
56,2,25,34,73,8.0,2.408133,3.431867,1
28,4,2,2,63,25.3,6.493582,9.445418,1
48,3,16,12,45,4.4,1.014419,0.965581,0
50,2,8,7,54,6.6,2.124442,1.439558,0
41,4,11,16,57,12.4,2.494271,4.573729,1
48,4,14,19,87,9.9,3.091081,5.521919,0
31,2,3,4,42,9.6,2.238207,1.793793,0
26,1,2,2,39,10.8,2.085496,2.126504,0
39,1,7,6,44,3.7,0.65339,0.97461,0
30,1,2,2,35,11.4,1.428629,2.561371,0
25,1,1,1,37,6.3,1.570364,0.760636,0
48,3,4,4,70,14.7,6.954745,3.335255,0
24,1,4,4,28,10.3,1.065171,1.818829,1
32,1,0,0,39,5.6,1.164373,1.019627,0
29,1,3,2,32,5.7,0.851892,0.972108,0
35,1,6,5,40,16.7,3.565222,3.114778,0
37,2,3,4,52,6.7,2.311184,1.172816,0
27,1,2,2,26,14.7,1.419323,2.402677,1
28,3,6,3,53,9.0,1.620499,3.149501,0
40,1,9,8,47,1.1,0.248926,0.268074,0
31,2,6,8,35,5.6,0.636975,1.323025,0
29,2,2,3,36,6.5,1.388449,0.951551,0
25,1,4,6,42,5.6,1.446613,0.905387,0
32,2,4,3,47,24.4,7.893575,3.574425,0
39,1,5,3,50,6.0,1.503437,1.496563,0
24,1,4,4,27,9.1,0.790167,1.666833,1
35,1,8,11,47,14.4,2.910688,3.857312,0
36,4,9,12,67,15.8,4.644057,5.941943,0
32,1,9,9,50,4.1,1.369167,0.680833,0
39,3,9,11,58,7.7,2.726159,1.739841,1
37,1,3,2,41,3.5,0.802368,0.632632,0
35,3,5,6,60,6.7,2.810085,1.209915,0
46,1,19,24,41,1.5,0.204423,0.410577,1
27,1,6,6,27,13.3,1.22867,2.36233,0
30,1,8,8,28,1.3,0.194205,0.169795,1
34,2,5,4,41,2.6,0.534266,0.531734,0
35,1,5,7,46,6.1,1.544511,1.261489,0
34,1,9,10,45,23.3,6.666438,3.818562,1
43,2,15,8,38,13.7,3.432597,1.773403,1
39,1,12,11,45,7.3,1.495867,1.789133,0
31,1,4,5,42,2.5,0.59832,0.45168,0
29,2,5,6,31,23.4,3.398393,3.855607,1
47,3,4,2,58,17.0,3.18118,6.67882,0
31,2,4,2,46,17.4,4.134553,3.869447,0
43,2,2,3,46,17.0,2.788204,5.031796,0
51,1,19,25,61,4.5,1.627104,1.117896,0
31,2,8,7,57,13.0,3.012427,4.397573,0
33,3,3,2,42,24.5,5.930495,4.359505,0
24,3,3,3,32,1.6,0.249969,0.262031,0
34,1,9,10,40,7.3,0.885305,2.034695,0
43,3,3,2,43,9.3,2.038874,1.960126,0
39,2,0,0,36,0.9,0.109549,0.214451,0
43,2,1,1,47,9.0,2.003362,2.226638,0
34,1,4,6,52,4.0,0.897043,1.182957,0
46,1,14,13,55,5.0,1.401782,1.348218,0
42,2,12,10,54,5.5,0.968058,2.001942,0
26,2,2,1,36,9.8,1.50793,2.02007,1
43,2,1,1,69,23.1,8.336765,7.602235,0
26,3,0,0,36,4.3,0.818451,0.729549,0
38,2,8,7,36,20.2,3.284541,3.987459,0
28,1,4,5,27,8.3,0.869653,1.371347,0
36,1,4,3,54,15.4,2.866815,5.449185,0
34,2,6,5,46,5.4,0.761469,1.722531,0
35,4,5,4,63,10.9,2.766578,4.100422,0
22,1,1,1,38,8.0,1.745298,1.294702,1
24,2,4,5,35,13.2,1.935913,2.684087,1
34,1,3,2,40,6.5,1.66341,0.93659,0
29,1,7,5,46,7.6,1.294952,2.201048,0
31,2,8,6,43,2.6,0.702877,0.415123,0
29,2,1,1,34,1.3,0.136722,0.305278,0
27,4,3,2,43,4.6,0.707307,1.270693,1
52,1,16,22,55,1.6,0.291921,0.588079,0
38,1,8,8,40,6.5,1.0617,1.5383,0
28,3,2,3,50,11.1,3.474375,2.075625,0
40,1,9,11,47,2.5,0.57401,0.60099,0
33,1,9,6,40,36.6,8.134266,6.505734,0
28,1,3,2,40,9.8,2.721273,1.198727,1
28,1,4,4,38,3.8,1.003543,0.440457,0
26,2,0,0,44,18.9,3.169309,5.146691,0
47,1,6,6,59,8.5,2.360482,2.654518,0
35,1,3,4,33,1.1,0.179203,0.183797,0
35,3,9,13,49,2.3,0.760326,0.366674,0
46,1,13,12,49,15.7,3.264088,4.428912,0
33,1,3,3,40,8.8,2.330532,1.189468,0
38,1,14,17,49,6.6,2.062509,1.171491,0
29,1,1,1,27,12.1,1.483545,1.783455,0
39,2,5,3,58,15.7,3.037465,6.068535,0
34,1,4,5,37,6.4,0.922255,1.445745,0
33,1,5,5,51,7.3,2.5922,1.1308,0
50,1,14,15,47,6.1,1.212671,1.654329,0
29,1,2,3,32,5.0,0.689473,0.910527,0
28,3,2,3,51,10.6,3.17446,2.23154,0
27,1,1,1,40,3.7,0.861315,0.618685,0
32,1,4,3,33,12.1,2.288222,1.704778,0
30,1,7,8,40,2.5,0.532312,0.467688,0
25,2,4,6,42,6.7,1.173239,1.640761,1
27,3,0,0,60,17.5,6.499009,4.000991,1
46,2,2,2,61,0.1,0.042047,0.045584,0
33,1,1,1,35,5.1,0.661787,1.123213,0
28,2,0,0,44,30.6,6.212072,7.251928,0
38,1,5,3,39,12.9,2.972425,2.058575,0
50,1,6,4,52,13.5,4.264551,2.755449,0
47,1,9,9,43,6.7,1.519811,1.361189,0
35,3,7,7,63,6.8,1.732406,2.551594,0
46,2,13,18,45,7.5,1.114881,2.260119,0
33,1,6,4,48,7.0,1.030821,2.329179,0
25,1,4,6,39,11.4,1.877786,2.568214,0
39,2,8,9,50,2.5,0.781559,0.468441,0
31,1,0,0,29,2.1,0.2889,0.3201,0
24,1,3,4,39,13.6,2.053361,3.250639,0
33,1,2,2,32,1.6,0.243128,0.268872,0
40,2,7,8,58,14.4,4.018022,4.333978,0
27,1,6,5,29,16.4,1.796843,2.959157,0
30,1,7,4,43,2.5,0.670871,0.404129,0
35,4,3,2,52,1.6,0.357352,0.474648,0
44,2,8,6,60,14.7,5.757861,3.062139,0
55,2,17,24,69,15.4,6.322619,4.303381,0
44,2,7,4,51,18.1,3.200421,6.030579,1
38,2,5,4,35,5.0,0.592581,1.157419,0
47,1,7,5,44,5.6,1.176598,1.287402,0
28,4,5,3,48,8.4,2.011238,2.020762,0
23,4,2,1,35,16.0,2.394794,3.205206,1
29,3,7,5,41,1.2,0.179167,0.312833,0
25,1,1,1,33,5.8,0.959187,0.954813,0
30,1,1,1,43,0.6,0.167351,0.090649,0
41,2,11,16,44,16.1,3.771867,3.312133,0
29,2,1,1,55,11.2,2.510909,3.649091,0
34,1,6,7,46,0.7,0.115323,0.206677,0
34,2,11,12,34,4.8,0.538641,1.093359,0
39,1,3,2,38,2.8,0.459682,0.604318,0
25,2,3,3,29,13.7,1.957936,2.015064,0
35,1,6,5,37,7.3,1.009596,1.691404,1
39,1,3,2,47,29.7,9.40665,4.55235,0
24,3,1,1,56,4.7,1.215785,1.416215,0
40,1,11,14,57,1.6,0.367185,0.544815,0
26,1,3,4,44,9.3,1.691337,2.400663,0
44,2,3,3,51,1.8,0.53095,0.38705,0
34,3,9,7,39,5.9,1.427338,0.873662,0
49,3,17,9,72,11.4,5.313877,2.894123,0
29,3,6,8,57,4.9,1.768122,1.024878,0
31,1,4,4,43,20.5,4.58769,4.22731,0
35,4,11,14,73,5.9,1.870418,2.436582,0
29,4,4,5,52,17.0,4.437291,4.402709,0
40,2,8,6,64,8.4,3.710443,1.665557,0
34,2,3,4,52,4.4,0.820701,1.467299,0
40,4,15,11,59,15.5,5.964243,3.180757,0
46,3,4,4,72,4.4,1.978373,1.189627,0
52,2,7,10,67,5.6,1.352099,2.399901,0
43,4,4,6,58,5.5,1.435915,1.754085,0
46,1,14,9,47,4.6,1.371896,0.790104,0
44,2,1,1,61,5.2,2.186676,0.985324,0
23,1,3,4,29,41.3,7.20619,4.77081,1
37,2,11,13,54,19.8,7.477892,3.214108,0
39,2,8,11,62,15.4,4.9708,4.5772,0
43,1,5,6,54,5.8,0.995154,2.136846,0
29,1,1,1,32,2.7,0.346133,0.517867,0
39,2,8,11,54,8.6,2.038686,2.605314,0
38,2,8,10,38,9.7,1.199894,2.486106,1
27,1,3,3,43,4.3,1.044718,0.804282,0
34,1,7,10,31,4.3,0.419494,0.913506,0
32,1,8,5,38,15.2,1.736685,4.039315,1
36,2,2,2,57,12.9,3.076301,4.276699,0
41,2,11,16,52,5.4,1.355053,1.452947,0
35,1,4,6,41,9.3,1.953487,1.859513,0
40,3,9,6,72,4.0,1.575818,1.304182,0
33,2,4,3,58,16.5,6.015486,3.554514,0
24,3,1,1,34,11.1,1.992406,1.781594,0
39,1,1,1,47,1.3,0.39736,0.21364,0
42,1,11,11,46,8.3,1.8204,1.9976,0
38,2,2,1,48,11.3,3.412278,2.011722,0
24,1,1,1,34,6.7,1.294778,0.983222,0
37,2,9,5,40,0.9,0.119162,0.240838,0
32,1,7,7,49,4.8,1.020455,1.331545,0
33,1,6,5,49,8.5,2.422875,1.742125,1
29,1,5,4,29,7.5,1.273246,0.901754,0
32,2,1,1,45,15.3,3.144973,3.740027,1
37,1,4,3,51,11.0,2.133548,3.476452,1
54,2,23,14,59,9.6,2.60969,3.05431,0
34,1,2,2,41,23.1,4.93745,4.53355,1
29,3,3,4,38,15.6,3.844484,2.083516,0
22,1,2,1,37,2.7,0.308917,0.690083,0
22,2,2,3,36,20.1,3.669469,3.566531,1
24,4,2,1,57,4.4,1.540286,0.967714,0
31,1,8,11,32,6.8,0.859758,1.316242,1
37,1,3,3,37,2.9,0.64821,0.42479,0
33,1,7,7,36,36.6,6.168093,7.007907,1
33,2,8,9,41,6.2,1.779109,0.762891,0
25,1,4,5,26,5.5,0.953251,0.476749,0
35,2,5,6,53,6.1,2.197983,1.035017,0
48,4,19,23,66,7.5,1.650661,3.299339,0
42,1,8,8,46,6.7,0.96996,2.11204,0
23,1,3,3,26,3.5,0.55531,0.35469,0
23,4,3,4,38,3.5,0.863894,0.466106,0
47,1,9,10,39,6.1,0.720106,1.658894,0
21,4,1,1,42,24.5,3.86973,6.42027,0
30,1,3,3,40,4.9,0.823327,1.136673,1
29,2,1,1,55,6.7,2.302524,1.382476,0
49,2,1,1,69,16.1,5.22822,5.88078,1
36,1,3,2,31,15.0,2.090123,2.559877,0
34,2,1,1,35,10.1,2.331134,1.203866,1
30,3,6,5,37,19.8,3.152994,4.173006,0
29,1,1,1,44,8.3,2.392655,1.259345,0
36,3,7,10,50,6.4,2.167872,1.032128,0
33,1,7,7,29,1.7,0.318525,0.174475,0
28,1,5,6,48,8.0,1.340099,2.499901,0
38,2,10,5,64,5.0,1.297263,1.902737,0
29,1,2,2,37,12.1,1.854242,2.622758,0
35,1,8,11,34,2.3,0.511595,0.270405,0
34,3,8,10,45,7.0,1.527284,1.622716,0
23,4,0,0,49,8.2,1.650971,2.367029,0
39,3,13,10,48,9.5,2.739761,1.820239,1
40,1,2,2,42,13.2,3.666907,1.877093,0
36,1,6,6,31,15.2,3.153937,1.558063,1
44,1,14,19,39,10.4,2.194091,1.861909,0
52,1,5,7,50,7.9,2.334101,1.615899,1
24,1,2,3,26,3.7,0.600805,0.361195,0
27,2,6,4,33,6.2,1.167492,0.878508,0
25,3,2,2,39,13.5,2.014089,3.250911,1
40,1,10,11,47,19.7,3.116405,6.142595,1
46,1,6,7,49,4.0,0.914069,1.045931,0
45,3,19,27,76,17.6,8.184013,5.191987,0
47,3,15,15,51,6.8,1.667605,1.800395,0
52,1,3,4,50,2.7,0.797263,0.552737,0
46,2,1,1,45,8.0,2.181547,1.418453,0
36,2,2,1,40,8.3,1.815697,1.504303,1
26,1,3,2,42,1.1,0.322106,0.139894,0
38,1,10,15,44,17.8,2.969776,4.862224,1
24,1,4,5,39,4.1,0.691939,0.907061,0
47,2,0,0,57,16.0,4.745317,4.374683,1
48,3,19,21,75,15.9,6.337682,5.587318,1
25,1,0,0,41,5.4,0.727556,1.486444,0
35,1,1,1,48,10.8,1.9065,3.2775,1
36,2,11,9,61,8.0,2.95414,1.92586,1
47,1,12,14,44,9.1,2.177277,1.826723,1
47,1,8,4,51,10.9,2.859819,2.699181,0
40,1,1,1,32,4.7,0.802843,0.701157,0
24,2,3,4,30,5.6,0.905094,0.774906,1
30,1,7,8,37,6.7,1.333849,1.145151,0
37,1,5,7,37,11.1,2.606088,1.500912,1
40,4,5,7,76,12.4,4.883373,4.540627,0
52,1,19,13,61,5.1,0.987285,2.123715,0
46,1,18,17,35,11.3,2.351665,1.603335,0
47,2,12,7,53,3.1,1.118622,0.524378,1
39,3,6,5,68,6.2,1.804497,2.411503,0
41,1,10,6,58,16.5,4.996229,4.573771,0
33,1,5,7,48,5.2,1.191298,1.304702,0
24,1,3,3,38,15.0,3.485094,2.214906,1
47,1,13,8,55,2.3,0.466376,0.798624,0
32,1,1,1,28,3.5,0.485001,0.494999,0
34,1,5,4,32,2.8,0.473317,0.422683,0
31,1,4,4,47,3.3,0.941629,0.609371,0
43,1,3,2,35,14.1,2.548158,2.386842,0
41,1,14,12,45,8.1,2.122987,1.522013,0
30,1,4,4,48,24.2,6.183033,5.432967,0
47,5,8,6,79,16.1,5.2751,7.4439,0
28,1,4,3,40,17.1,2.389217,4.450783,0
32,1,2,1,29,18.9,2.773857,2.707143,1
27,1,3,2,35,19.4,2.122733,4.667267,0
22,1,1,1,39,3.6,0.501848,0.902152,0
37,1,1,1,51,2.4,0.818547,0.405453,0
30,2,2,1,42,13.6,3.821846,1.890154,0
32,1,9,12,42,6.7,1.943195,0.870805,0
42,1,5,4,42,7.2,1.31998,1.70402,0
34,2,3,3,40,3.7,0.756708,0.723292,0
33,1,9,13,30,17.0,1.685998,3.414002,0
30,1,8,9,42,7.1,1.207392,1.774608,0
23,3,3,4,37,12.7,2.334941,2.364059,0
29,1,1,1,34,3.3,0.722813,0.399187,0
29,3,7,9,49,7.3,2.272523,1.304477,0
30,2,4,2,44,12.7,1.956707,3.631293,1
41,2,10,10,39,5.9,1.333384,0.967616,0
40,3,11,12,75,1.2,0.43327,0.46673,0
21,1,1,1,29,5.0,0.814682,0.635318,0
29,1,2,3,32,9.6,1.656494,1.415506,0
48,1,13,18,50,10.9,2.754704,2.695296,0
34,1,1,1,34,13.6,1.92181,2.70219,0
41,1,9,9,45,5.6,1.608183,0.911817,0
32,3,1,1,42,1.9,0.413618,0.384382,0
43,1,2,3,39,2.4,0.312633,0.623367,0
46,2,1,1,65,8.2,2.946542,2.383458,0
25,1,2,2,32,24.2,5.266489,2.477511,1
50,1,13,7,51,7.3,2.553926,1.169074,0
23,1,3,4,38,6.1,1.159441,1.158559,0
36,1,9,10,48,6.4,0.987363,2.084637,0
21,2,2,2,48,25.1,5.022355,7.025645,0
40,1,1,1,34,14.2,2.120866,2.707134,0
32,2,3,3,52,15.1,3.539937,4.312063,1
38,3,3,3,52,4.3,1.495314,0.740686,0
48,3,12,18,63,6.1,1.592933,2.250067,1
43,1,5,3,54,6.8,1.323261,2.348739,0
51,1,12,17,44,11.5,3.32956,1.73044,0
37,4,4,4,77,12.6,5.492924,4.209076,0
35,1,8,6,51,9.5,1.506036,3.338964,0
26,1,3,2,35,8.0,1.8173,0.9827,0
33,1,6,6,34,1.6,0.362733,0.181267,0
44,2,15,18,52,18.9,5.504794,4.323206,0
24,4,1,1,60,18.8,6.803197,4.476803,1
38,1,13,17,37,6.5,1.03593,1.36907,1
27,4,4,3,49,7.2,1.116164,2.411836,0
24,1,4,6,44,2.6,0.704986,0.439014,0
27,1,5,3,34,11.4,2.208674,1.667326,1
31,3,0,0,45,13.2,4.112187,1.827813,0
52,1,10,14,53,0.9,0.267744,0.209256,0
25,2,1,1,29,6.1,0.707539,1.061461,0
50,1,22,32,45,14.8,4.175616,2.484384,0
39,1,13,19,48,8.0,2.607352,1.232648,0
26,2,3,2,41,24.2,6.782512,3.139488,0
39,1,11,13,44,3.7,1.070227,0.557773,0
34,1,10,6,42,10.5,2.245937,2.164063,0
25,1,1,1,45,8.0,1.734646,1.865354,0
26,1,4,4,41,3.7,0.795413,0.721587,0
46,1,16,16,58,23.8,7.555024,6.248976,1
47,2,8,9,55,29.7,7.9603,8.3747,1
27,1,3,3,36,5.0,0.849832,0.950168,0
24,2,2,2,31,13.2,1.407358,2.684642,0
45,2,6,7,41,21.4,5.673182,3.100818,1
46,2,2,3,46,15.7,3.703454,3.518546,0
43,4,9,8,63,7.9,2.822668,2.154332,0
41,1,11,16,46,6.6,1.278866,1.757134,0
35,3,8,4,49,13.4,3.8962,2.6698,0
40,1,7,6,58,13.5,4.638242,3.191758,0
47,2,17,12,65,17.0,4.233417,6.816583,0
53,1,16,14,63,1.6,0.594583,0.413417,0
35,2,5,5,52,3.1,0.586146,1.025854,0
35,1,7,10,45,17.0,4.664426,2.985574,0
31,1,6,5,30,4.9,0.603303,0.866697,0
33,2,9,5,54,2.0,0.407996,0.672004,0
35,1,2,1,36,4.5,0.754498,0.865502,0
42,1,9,7,56,4.1,1.202558,1.093442,0
28,1,6,4,47,3.0,0.586075,0.823925,0
26,2,2,2,33,9.4,1.339272,1.762728,0
41,1,8,11,36,8.1,1.59591,1.32009,0
27,3,0,0,37,9.8,1.746289,1.879711,0
22,1,1,1,28,11.3,1.67791,1.48609,0
36,2,7,4,38,9.7,1.897995,1.788005,0
31,1,5,6,41,12.8,2.134134,3.113866,0
26,3,1,1,54,5.3,1.521628,1.340372,0
33,2,6,9,41,13.2,2.944245,2.467755,1
23,2,0,0,46,17.3,2.727572,5.230428,1
28,1,7,8,30,2.5,0.477708,0.272292,0
33,1,9,8,48,7.7,1.359576,2.336424,0
53,4,0,0,90,5.5,2.414193,2.535807,0
28,3,1,1,59,17.2,4.614944,5.533056,0
35,1,11,9,44,12.3,2.445007,2.966993,0
35,1,4,4,29,33.4,3.387421,6.298579,1
31,1,9,11,33,9.1,1.051305,1.951695,0
22,2,2,1,49,16.7,4.007967,4.175033,0
22,1,2,2,42,4.4,0.636765,1.211235,0
43,3,12,11,78,4.9,2.481332,1.340668,0
50,3,20,17,64,20.2,4.266235,8.661765,0
37,1,3,3,41,10.5,2.74925,1.55575,0
35,1,2,3,45,3.7,1.1054,0.5596,0
31,2,8,12,36,1.2,0.237734,0.194266,0
28,4,7,8,56,9.4,2.563157,2.700843,0
44,3,9,13,72,13.2,4.495718,5.008282,1
36,2,2,3,35,6.3,0.750769,1.454231,0
39,2,12,12,65,13.0,5.167024,3.282976,0
50,2,9,11,72,4.4,1.726184,1.441816,0
29,1,0,0,45,6.8,1.972012,1.087988,0
29,1,3,3,30,2.8,0.25503,0.58497,0
39,1,6,4,51,4.4,0.713783,1.530217,0
38,1,7,6,46,23.8,5.37082,5.57718,0
28,1,3,2,40,6.6,1.149338,1.490662,0
28,1,5,7,36,4.8,1.074893,0.653107,0
43,1,7,9,46,9.4,1.915266,2.408734,0
46,1,8,8,38,15.4,3.694151,2.157849,1
34,1,7,9,33,6.0,1.285536,0.694464,0
28,1,2,3,29,2.4,0.460578,0.235422,0
24,1,2,2,28,9.5,0.919821,1.740179,0
39,2,9,13,39,9.6,1.766841,1.977159,0
39,2,6,4,43,11.1,2.700898,2.072102,0
30,3,6,4,52,4.5,1.031421,1.308579,0
24,1,4,3,43,4.5,1.031627,0.903373,0
25,1,3,2,34,9.4,2.151854,1.044146,0
39,2,3,4,50,8.6,2.128245,2.171755,0
34,2,10,14,57,3.7,1.428526,0.680474,0
32,1,3,4,41,24.4,6.760982,3.243018,0
36,1,9,13,47,9.8,1.980288,2.625712,0
52,1,20,20,53,9.0,1.626362,3.143638,0
39,1,6,7,38,2.5,0.320477,0.629523,0
28,2,1,1,36,1.7,0.19189,0.42011,0
29,2,6,4,37,5.0,1.265564,0.584436,0
39,1,5,6,57,6.7,1.153041,2.665959,0
28,1,6,3,35,3.2,0.50886,0.61114,0
26,2,4,2,45,18.6,3.345866,5.024134,1
48,1,18,12,49,1.6,0.545135,0.238865,0
49,4,0,0,73,12.2,5.810908,3.095092,0
31,1,6,4,45,14.3,4.287947,2.147053,0
35,1,10,11,53,6.3,1.237439,2.101561,0
